Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Dissostichus mawsoni486,1978,1.63359869356858,4.2772395762812e-11,1.63359869356858,4.2772395762812e-11
Dissostichus mawsoni486,1979,0.335342320965924,2.08362993485776e-10,0.335342320965924,2.08362993485776e-10
Dissostichus mawsoni486,1980,0.570191888978846,1.22542833718773e-10,0.570191888978846,1.22542833718773e-10
Dissostichus mawsoni486,1981,4.31030276221599,1.62106779253263e-11,4.31030276221599,1.62106779253263e-11
Dissostichus mawsoni486,1982,0.0328683542758498,2.12584205623789e-09,0.0328683542758498,2.12584205623789e-09
Dissostichus mawsoni486,1983,0.0260860413131248,2.67855628227393e-09,0.0260860413131248,2.67855628227393e-09
Dissostichus mawsoni486,1984,0.0635493572242261,1.09950647639739e-09,0.0635493572242261,1.09950647639739e-09
Dissostichus mawsoni486,1985,0.0493376633071276,1.4162188712499e-09,0.0493376633071276,1.4162188712499e-09
Dissostichus mawsoni486,1986,0.0657955784084923,1.061969991435e-09,0.0657955784084923,1.061969991435e-09
Dissostichus mawsoni486,1987,0.0185943917469001,3.75774216172339e-09,0.0185943917469001,3.75774216172339e-09
Dissostichus mawsoni486,1988,0.0188769237133266,3.70149982592763e-09,0.0188769237133266,3.70149982592763e-09
Dissostichus mawsoni486,1989,0.028967316139734,2.41212991572541e-09,0.028967316139734,2.41212991572541e-09
Dissostichus mawsoni486,1990,0.0425802463075921,1.64097054146137e-09,0.0425802463075921,1.64097054146137e-09
Dissostichus mawsoni486,1991,0.271765089946869,2.57107820038947e-10,0.271765089946869,2.57107820038947e-10
Dissostichus mawsoni486,1992,0.532482313360666,1.31221128074541e-10,0.532482313360666,1.31221128074541e-10
Dissostichus mawsoni486,1993,0.100219275341852,6.97200509588486e-10,0.100219275341852,6.97200509588486e-10
Dissostichus mawsoni486,1994,0.081530894999273,8.57011686668605e-10,0.081530894999273,8.57011686668605e-10
Dissostichus mawsoni486,1995,0.0989684961374044,7.06011837766219e-10,0.0989684961374044,7.06011837766219e-10
Dissostichus mawsoni486,1996,0.242573495730608,2.88048492802057e-10,0.242573495730608,2.88048492802057e-10
Dissostichus mawsoni486,1997,0.168675130473286,4.14245595322032e-10,0.168675130473286,4.14245595322032e-10
Dissostichus mawsoni486,1998,0.0923908279256948,7.56275610985141e-10,0.0923908279256948,7.56275610985141e-10
Dissostichus mawsoni486,1999,0.0450967692186992,1.54939990268649e-09,0.0450967692186992,1.54939990268649e-09
Dissostichus mawsoni486,2000,0.0595445524499403,1.17345629388466e-09,0.0595445524499403,1.17345629388466e-09
Dissostichus mawsoni486,2001,0.0490317277928013,1.42505542807297e-09,0.0490317277928013,1.42505542807297e-09
Dissostichus mawsoni486,2002,0.0423177306229949,1.65115021080454e-09,0.0423177306229949,1.65115021080454e-09
Dissostichus mawsoni486,2003,0.0904628728197658,7.72393443420037e-10,0.0904628728197658,7.72393443420037e-10
Dissostichus mawsoni486,2004,0.206650494772031,3.3812128016441e-10,0.206650494772031,3.3812128016441e-10
Dissostichus mawsoni486,2005,0.694607983844585,0.000227542111481141,0.694607983844585,0.000227542111481141
Dissostichus mawsoni486,2006,0.349706349337089,0.0125974988702909,0.349706349337089,0.0125974988702909
Dissostichus mawsoni486,2007,0.861432779419042,0.00279105533399837,0.861432779419042,0.00279105533399837
Dissostichus mawsoni486,2008,2.41470061684492,0.00032170910039786,2.41470061684492,0.00032170910039786
Dissostichus mawsoni486,2009,2.38004945515108,0.00779040498398052,2.38004945515108,0.00779040498398052
Dissostichus mawsoni486,2010,2.15541003517171,0.011097164521955,2.15541003517171,0.011097164521955
Dissostichus mawsoni486,2011,0.57716981350045,0.0434864646500471,0.57716981350045,0.0434864646500471
Dissostichus mawsoni486,2012,1.14938626729507,0.0229297318171558,1.14938626729507,0.0229297318171558
